InputID,TargetID,Distance
18272,18273,5248.40904332789
18272,18433,11144.557382489
18272,18153,11144.3944179647
18272,18271,5248.40904332856
18273,18434,11144.557382489
18273,18154,11144.3944179647
18273,18433,12314.9029121152
18273,18153,12322.0692360574
18273,18272,5248.40904332789
18145,18146,5265.56697035755
18145,18264,11144.3944179647
18145,18023,11144.2310761671
18145,18265,12322.0692360574
18146,18147,5265.56697035822
18146,18024,11144.2310761671
18146,18145,5265.56697035755
18146,18265,11144.3944179647
18147,18146,5265.56697035822
18147,18025,11144.2310761671
18147,18148,5265.56697035755
18147,18266,11144.3944179647
18148,18026,11144.2310761671
18148,18147,5265.56697035755
18148,18149,5265.56697035822
18148,18267,11144.3944179647
18149,18027,11144.2310761671
18149,18150,5265.56697035755
18149,18148,5265.56697035822
18149,18268,11144.3944179647
18150,18269,11144.3944179647
18150,18028,11144.2310761671
18150,18151,5265.56697035822
18150,18149,5265.56697035755
18151,18270,11144.3944179647
18151,18150,5265.56697035822
18151,18029,11144.2310761671
18151,18152,5265.56697035755
18152,18030,11144.2310761671
18152,18151,5265.56697035755
18152,18153,5265.56697035822
18152,18271,11144.3944179647
18153,18031,11144.2310761671
18153,18154,5265.56697035755
18153,18152,5265.56697035822
18153,18272,11144.3944179647
18154,18273,11144.3944179647
18154,18032,11144.2310761671
18154,18153,5265.56697035755
18154,18272,12322.0692360574
18023,18024,5282.70863022567
18023,18145,11144.2310761671
18023,17900,12336.4391196238
18023,17899,11144.0673591059
18024,18146,11144.2310761671
18024,18025,5282.70863022634
18024,17900,11144.0673591059
18024,18023,5282.70863022567
18025,18026,5282.70863022567
18025,18024,5282.70863022634
18025,18147,11144.2310761671
18025,17901,11144.0673591059
18026,18027,5282.70863022634
18026,18025,5282.70863022567
18026,18148,11144.2310761671
18026,17902,11144.0673591059
18027,17903,11144.0673591059
18027,18026,5282.70863022634
18027,18028,5282.70863022567
18027,18149,11144.2310761671
18028,18027,5282.70863022567
18028,18150,11144.2310761671
18028,18029,5282.70863022634
18028,17904,11144.0673591059
18029,18030,5282.70863022567
18029,18028,5282.70863022634
18029,18151,11144.2310761671
18029,17905,11144.0673591059
18030,17906,11144.0673591059
18030,18031,5282.70863022634
18030,18029,5282.70863022567
18030,18152,11144.2310761671
18031,17907,11144.0673591059
18031,18030,5282.70863022634
18031,18032,5282.70863022567
18031,18153,11144.2310761671
18032,17908,11144.0673591059
18032,17907,12336.4391196238
18032,18031,5282.70863022567
18032,18154,11144.2310761671
17899,17773,11143.9032688172
17899,18024,12336.4391196239
17899,17900,5299.83397060935
17899,18023,11144.0673591059
17900,18024,11144.0673591059
17900,17774,11143.9032688172
17900,17901,5299.83397061003
17900,17899,5299.83397060935
17901,18025,11144.0673591059
17901,17775,11143.9032688172
17901,17900,5299.83397061003
17901,17902,5299.83397060935
17902,17903,5299.83397061003
17902,18026,11144.0673591059
17902,17776,11143.9032688172
17902,17901,5299.83397060935
17903,18027,11144.0673591059
17903,17777,11143.9032688172
17903,17904,5299.83397060935
17903,17902,5299.83397061003
17904,17903,5299.83397060935
17904,18027,12336.4391196239
17904,18028,11144.0673591059
17904,18029,12336.4391196242
17904,17905,5299.83397061003
17905,17906,5299.83397060935
17905,18028,12336.4391196242
17905,18029,11144.0673591059
17905,17904,5299.83397061003
17906,17907,5299.83397061003
17906,18030,11144.0673591059
17906,18031,12336.4391196242
17906,17905,5299.83397060935
17907,17908,5299.83397060935
17907,17906,5299.83397061003
17907,18031,11144.0673591059
17907,17778,11143.9032688172
17908,17907,5299.83397060935
17908,18031,12336.4391196239
17908,18032,11144.0673591059
17908,17779,11143.9032688172
17773,17774,5316.9429392417
17773,17644,11143.738807317
